"Номер задания";"Старт задания";"Окончание задания";"Товар НО";"Категория";"Код товарной категории";"Описание товара";"Комментарий по товару";"Бренд";"Код ценовой зоны";"Код розничной сети";"Розничная сеть";"Регион";"Физический адрес";"Штрихкод";"Количество штук";"Цена конкурента";"Цена акционная\по карте";"Аналог";"Нет товара";"Дата мониторинга";"Фото";"Примечание";"Ссылка на страницу товара"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ392006";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАЧИКА";"Чипсы картофельные Lay's Из печи со вкусом Нежный сыр с зеленью Фрито Лей Мануфактуринг ООО 85г Россия";;"Lay's";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4690388058142";;"89.9";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/601001057?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/chipsy-sneki-popkorn/chipsy-lays-iz-pechi-nezhnyy-syr-i-zelen-85g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ155706";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАПБСУ";"Суп Maggi Горячая кружка гороховый с сухариками ООО Нестле Россия 19 г Россия";;"Maggi";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4601339003029,4601339002664";;"36.9";"29.9";;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/601000396?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/produkty-bystrogo-prigotovleniya/sup-maggi-gorokhovyy-s-sukharyami-19g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ121006";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАПБСУ";"Суп Maggi Горячая кружка куриный с сухариками ООО Нестле Россия 19 г Россия";;"Maggi";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4601339002879";;"36.9";"29.9";;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/601000391?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/produkty-bystrogo-prigotovleniya/sup-maggi-kurinyy-s-sukharyami-19g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ270632";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАПБСУ";"Суп Maggi звёздочки 54г Россия";;"Maggi";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4601339001087";;"50.9";"39.9";;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/601000034?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/produkty-bystrogo-prigotovleniya/sup-maggi-na-pervoe-zvezdochki-54g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ067247";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАПБКА";"Каша Myllyn Paras овсяная 1 мин 500 г Россия";;"Myllyn Paras";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`6417700059209";;"127.9";"99.9";;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/600999270?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/kashi-gotovye-zavtraki/kasha-ovsyanaya-myllyn-paras-500g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ426000";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВКСУ";"Лапша быстрого приготовления Nongshim Сун Вегги овощная Nongshim Co.,Ltd. 112г Южная Корея";;"Nongshim";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`8801043022705";;"168";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/942929440?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/produkty-bystrogo-prigotovleniya/lapsha-nongshim-sun-veggi-ovoshchnaya-pachka-112g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ425989";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВКСУ";"Лапша быстрого приготовления Nongshim Шин Рамен Nongshim Co.,Ltd. 68г стакан Южная Корея";;"Nongshim";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`8801043031011";;"184";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/942929469?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/produkty-bystrogo-prigotovleniya/lapsha-nongshim-shin-ramen-stakan-68g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ214405";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАПБКА";"Хлопья Nordic гречневые 550 г Россия";;"Nordic";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`6411200108962,4607058800291";;"209.9";"179.9";;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/600999278?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/kashi-gotovye-zavtraki/khlopya-grechnevye-nordis-550g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ289442";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВКПВ";"Заправка Sen Soy для фунчозы по-корейски 80г Россия";;"Sen Soy";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4607041133948";;"54.9";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/600999459?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/sol-sakhar-spetsii-pripravy/zapravka-sen-soy-dlya-funchozy-po-koreyski-80g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ266455";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВККН";"Имбирь Sen Soy маринованный 145г Россия";;"Sen Soy";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4607041132606";;"146";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/601001841?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/konservy/imbir-marinovannyy-sen-soy-145g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ264925";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВКЛА";"Лапша Sen Soy Соба из гречневой муки 300 г Китай";;"Sen Soy";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4607041132729";;"158";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/600999160?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/makarony/lapsha-grechnevaya-sen-soy-300g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ264929";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВКЛА";"Лапша Sen Soy Удон  из пшеничной муки 300 г Китай";;"Sen Soy";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4607041132705";;"128";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/600999205?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/makarony/makaronnye-izdeliya-sen-soy-lapsha-pshenichnaya-udon-300g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ288498";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВКСУ";"Лапша Sen Soy фунчоза с китайским устричным соусом и грибами шиитаке 125г Россия";;"Sen Soy";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4607041134907";;"164";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/760553663?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/makarony/vermishel-bystrogo-prigotovleniya-sen-soy-funchoza-pod-kitayskim-sousom-125g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ266596";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВКМУ";"Панировка Sen Soy темпурная хлопья 100г Вьетнам";;"Sen Soy";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4607041134310";;"119.9";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/760555114?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/muka-tovary-dlya-vypechki/khlopya-panirovochnye-yaponskie-tempura-sensoy-100g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ266520";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВККР";"Рис Sen Soy для суши 250г Россия";;"Sen Soy";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4607041133047";;"97";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/600999321?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/krupy/ris-dlya-sushi-sen-soy-250g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ343845";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВКСО";"Соевый соус Sen Soy  Терияки СОСТРА 1л Россия";;"Sen Soy";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4607041132095";;"249.9";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/601001280?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/sousy-ketchupy/sous-soevyy-sen-soy-teriyaki-plastikovaya-butylka-1l/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ266666";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВКСО";"Соевый соус Sen Soy Премиум 220мл Россия";;"Sen Soy";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4607041132105,4607041132101";;"111";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/600999741?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/sousy-ketchupy/sous-soevyy-sen-soy-klassik-premium-220g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ266658";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВКСО";"Соус Sen Soy Васаби 43г тюбик Китай";;"Sen Soy";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4607041132750";;"120";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/601001237?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/sousy-ketchupy/sous-sen-soy-vasabi-43g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ336821";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВКСО";"Соус Sen Soy Премиум Терияки сладкий для обжаривания 320г стекло Россия";;"Sen Soy";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4607041136048";;"174";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/601000876?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/sousy-ketchupy/sous-sen-soy-premium-teriyaki-sladkiy-dlya-obzharivaniya-320g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ288229";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАВКСО";"Соус Sen Soy терияки 120мл пакет Россия";;"Sen Soy";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4607041133290";;"68";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/601000350?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/sousy-ketchupy/sous-dlya-sushi-sen-soy-teriyaki-120g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ274373";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАПБВБ";"Лапша Доширак квисти с говядиной 70г Россия";;"Доширак";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4607065580070";;"27.9";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/600999987?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/produkty-bystrogo-prigotovleniya/lapsha-doshirak-kvisti-so-vkusom-govyadiny-70gr/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ013511";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАПБВБ";"Лапша Доширак с говядиной 90 г Россия";;"Доширак";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`8801128500081,4607065580216,4607065580018";;"65.9";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/600999981?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/produkty-bystrogo-prigotovleniya/lapsha-govyadina-doshirak-90g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ013512";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАПБВБ";"Лапша Доширак с курицей 90 г Россия";;"Доширак";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`8801128500647,4607065580223,4607065580025";;"54.9";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/600999980?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/produkty-bystrogo-prigotovleniya/lapsha-kuritsa-doshirak-1-90/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ100525";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАПБКА";"Хлопья Клин Экстра овсяные 1 кг Россия";;"Клин";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4660005230015,4601836000019";;"174.9";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/760553967?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/kashi-gotovye-zavtraki/khlopya-ovsyanye-klinskie-ekstra-2-1kg/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ309842";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАСЗХЛ";"Кукурузные палочки Кузя Лакомкин сладкие 140 г Россия";;"Кузя Лакомкин";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4602041005196";;"88";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/601002056?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/chipsy-sneki-popkorn/kukuruznye-palochki-kuzya-lakomkin-140gr/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ270449";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАСЗХЛ";"Готовый завтрак Любятово подушечки с молочной начинкой ООО """"Келлогг Рус"" 220г Россия";;"Любятово";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4610003254551,4607064320400,4602141256252";;"143.9";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/609633023?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/kashi-gotovye-zavtraki/podushechki-lyubyatovo-s-molochnoy-nachinkoy-250g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ423591";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАСЗХЛ";"Готовый завтрак Любятово подушечки с шоколадной начинкой Келлогг Рус 500г пакет Россия";;"Любятово";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4610003253103";;"224.9";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/760555975?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/kashi-gotovye-zavtraki/podushechki-lyubyatovo-s-shokoladnoy-nachinkoy-500g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ270450";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАСЗХЛ";"Готовый завтрак Любятово подушечки с шоколадной начинкой ООО """"Келлогг Рус"" 220г Россия";;"Любятово";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4610003254544,4607064320387";;"136.9";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/609633033?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/kashi-gotovye-zavtraki/podushechki-lyubyatovo-s-shokoladnoy-nachinkoy-250g/"
"TASK-00002239";"2023-03-13";"2023-03-14";"ТОВ375349";"БАКАЛЕЯ ПРОЧ И БП";"-ПРБАПБКА";"Каша Мистраль овсяная Малиновый мильфей 40 г пакет Россия";;"Мистраль";;"СПАР_МО_ОНЛ";"СПАР";"50";"г. Жуковский_онлайн";"`4601916006351";;"31";;;" ";"2023-03-07";"http://webcache.zoomos.by/shops-parser/page-cache/608717676?cityId=4352&currency=&tmpl=v3";;"https://myspar.ru/catalog/kashi-gotovye-zavtraki/kasha-ovsyanaya-mistral-malinovyy-milfey-40g/"
